OrdenCorrida;Modelo;Experto;iso37;iso36;iso35;iso34;iso33;iso32;iso31;iso41;iso42;iso43;iso44;iso45;iso46;iso47;ancho intercanino (3-3);anchura interpremolar (4-4);anchura interpremolar (5-5);ancho intermolar;voto_mayoritario;experto
91;49;Experto 1;10,67;10,97;6,63;7,96;6,37;5,97;5,25;5,96;5,66;6,37;7,76;6,63;9,96;10,65;28,95;30,63;35,01;39,3;2;Ovalado
92;50;Experto 1;9,63;10,97;6,53;7,66;7,78;6,37;5,64;5,96;6,7;7,46;7,37;6,93;10,34;9,97;25,99;25,36;27,16;33,26;2;Cuadrado
93;51;Experto 1;9,63;9,97;7,37;6,64;7,97;5,36;5,36;5,26;5,99;6,67;6,37;6,64;9,97;8,66;29,65;30,97;35,37;39,63;2;Ovalado
94;52;Experto 1;9,59;10,86;7,97;7,46;7,97;6,37;5,97;5,66;6,97;7,66;7,35;7,33;10,66;9,66;28,85;24,66;27,97;32,66;3;Cuadrado
95;53;Experto 1;8,97;10,32;6,64;6,97;7,37;6,97;5,37;5,86;6,67;7,37;7,97;6,63;10;9,83;25,86;27,63;34,7;39,37;2;Ovalado
96;54;Experto 1;8,26;9,37;6,65;7,7;6,64;5,26;5,64;4,64;5,96;6,37;6,65;6,97;9,37;8,52;25,66;28,52;32,64;34,37;2;Ovalado
97;55;Experto 1;9,97;10,55;6,64;7,97;6,57;5,55;5,67;5,58;5,02;6,97;6,76;7;10,7;9,24;24,97;26,7;28,45;32,97;3;Cuadrado
98;57;Experto 1;9,66;10,65;6,7;6,97;6,63;5,37;5,99;5,97;6,06;6,64;7,67;6,25;10,63;8,96;26,63;26,97;29,7;31,25;2;Ovalado
99;59;Experto 1;10,66;10,97;7,96;8,97;7,01;6,35;5,96;5,46;5,25;7,1;7;7,66;10,17;9,02;28,85;31,63;37,97;40,1;2;Ovalado
100;60;Experto 1;10,97;10,12;6,3;6,45;6,63;5,63;5,97;5,99;6,02;7,65;7,37;7,97;10,97;9,63;26,52;30,97;36,11;38,65;2;Ovalado
101;1;Experto 2;9,26;9,07;6,68;6,16;6,74;5,14;5,07;5,19;5,39;6,7;6,59;6,37;8,83;9,08;26,75;31,67;35,93;37,45;1;Cuadrado
102;4;Experto 2;9,87;10,29;6,6;6,04;7,48;6,08;5,16;5,18;6,38;7,06;6,88;6,77;10,54;10,13;29,16;30;32,92;37,62;2;Ovalado
103;5;Experto 2;10,22;10,33;6,9;6,87;6,79;5,99;5,12;5,23;6,05;6,61;7,05;6,9;10,64;10,18;28,67;28,09;34,63;34,92;2;Ovalado
